ka,lu-h,hdqhs,hdqhd,hdqss,hdqsd,hdqds,hdqdd,hdqdq
4.8435359342440085,9.77175402771269e-17,6.299797937446548e-17,4.3253560947390245e-17,4.1452335826316384e-17,4.177322625857897e-17,4.1452335826316384e-17,4.1452335826316384e-17,4.1452335826316384e-17
362.608524659749,2.563713065020739e-16,4.117008538261692e-17,4.1469955465532305e-17,4.09465116304046e-17,4.090228548032492e-17,4.0946511453982264e-17,4.090228548031999e-17,4.090228548031999e-17
177.93266449578562,4.374608903401802e-17,4.096152855608205e-17,4.177941174129111e-17,4.0814632141817437e-17,4.081463137088335e-17,4.081463137088335e-17,4.081463137088335e-17,4.081463137088335e-17
413.9524134800189,4.400310168587876e-17,4.028109070102904e-17,4.477140451463537e-17,4.008800423544758e-17,4.008800423531595e-17,4.008800423531595e-17,4.008800423531595e-17,4.008800423531595e-17
429.427047893533,6.41942009571708e-17,4.239984184643957e-17,4.573222517731792e-17,4.118039043644097e-17,4.118039043644097e-17,4.118039043644097e-17,4.118039043644097e-17,4.118039043644097e-17
896.5330802926944,3.0519681552050945e-16,4.151594415780131e-17,4.1957415534505105e-17,4.0821818804342023e-17,4.082181695556563e-17,4.082181810816006e-17,4.082181695556563e-17,4.082181695556563e-17
660.1827729686263,7.64374190223813e-17,5.485656873924217e-17,5.098840788272039e-17,4.1838871267683426e-17,4.1837514394182684e-17,4.18385790999839e-17,4.1837514394182684e-17,4.1837514394182684e-17
377.7156050169748,4.8192264854217653e-17,4.460009944746913e-17,4.419279624128964e-17,4.146135203441135e-17,4.1468137061130555e-17,4.146119719398321e-17,4.146119719398321e-17,4.146119719398321e-17
1171.9638826211049,7.760425437363036e-17,4.366507794771825e-17,4.195761842384601e-17,4.071333276984548e-17,4.105564475001273e-17,4.068674385685995e-17,4.0674532035581396e-17,4.0674532035581396e-17
2406.422310168466,1.0,5.792925986698804e-17,4.2029501562021204e-17,4.125385917097986e-17,4.127471482577878e-17,4.1243112282685596e-17,4.1243112282685596e-17,4.1243112282685596e-17
54.78707813383274,5.0136840052184636e-17,4.234598111610799e-17,4.279791042373356e-17,4.1338698767032034e-17,4.1337822189739984e-17,4.13390214092535e-17,4.133153272627981e-17,4.133153272627981e-17
4407.92025585086,7.368949302610237e-16,4.200514237492428e-17,5.279608554652429e-17,4.0219258834458796e-17,4.021489587068152e-17,4.0219149674996914e-17,4.021489587068152e-17,4.021489587068152e-17
68.21841903296115,4.261924846862808e-17,4.694112925760166e-17,4.3425296293652796e-17,4.124462455724932e-17,4.1239670188349074e-17,4.1239670188349074e-17,4.123343952116869e-17,4.123343952116869e-17
16495.078007183965,1.0,4.1296251598224217e-17,4.248274126121674e-17,4.1208222126421916e-17,4.1208222126421916e-17,4.1208222126421916e-17,4.1208222126421916e-17,4.1208222126421916e-17
177.08222507103935,4.2236649337301024e-17,4.236225060857669e-17,4.241444984315485e-17,4.068747519723484e-17,4.068747519723484e-17,4.068747519723484e-17,4.068747519723484e-17,4.068747519723484e-17
5.0409553157418945e10,1.0,1.0,1.0,0.19589290889586983,4.336771037648798e-17,4.5364466480708126e-10,4.036998314870447e-17,4.122646139289868e-17
1148.2476525265595,4.175343373672677e-17,5.850004225243391e-17,6.207214667761826e-17,4.09611668210089e-17,4.110359475303966e-17,4.09611668210089e-17,4.09611668210089e-17,4.09611668210089e-17
6.7051886044742735e6,5.930367590797742e-16,4.190987299654908e-17,4.3455662551344306e-17,4.0699751855079064e-17,4.0432494981969615e-17,4.102688034608152e-17,4.0432494981969615e-17,4.0432494981969615e-17
44331.155901553924,3.0860071808296505e-16,4.293043412758521e-17,4.263508315169251e-17,4.1847891258968254e-17,4.184792686293404e-17,4.1847891258968254e-17,4.1847891258968254e-17,4.1847891258968254e-17
