kA16-kM4-a,kA16-kM4-b,kA16-kM8-a,kA16-kM8-b,kA16-kM12-a,kA16-kM12-b,kA16-kM16-a,kA16-kM16-b,kA4-kM4-a,kA4-kM4-b,kA8-kM4-a,kA8-kM4-b,kA12-kM4-a,kA12-kM4-b
1.3326141143980812e-7,0.756641680648981,6.831293618365178e-9,0.7196466494409882,2.0600432424989802e-13,0.8252603032599432,,,,,5.875484319013469e-6,0.8993947496014293,2.063906675689093e-5,0.8073162778363564
5.224652892524876e-8,0.8024562246477579,1.361526845370441e-7,0.7797957992078803,1.6066342061528722e-11,0.7222566883665912,,,,,0.00016540653060598566,0.8791236684902581,1.1679997361652745e-6,0.7914867979502508
0.0001211288403074407,0.6508416129805087,1.1072792780726824e-9,0.7790934296842078,9.893136814321778e-12,0.6891176785718728,,,,,0.00045784044244601645,0.8701487608281093,4.0283761210122657e-7,0.6839129740224799
0.002565461599520246,0.6775612881874562,1.185494589812316e-10,0.7284739175877659,4.133858554379479e-13,0.6940959360418054,,,,,1.176694047555551e-5,0.8474998981167231,2.4492390511919424e-7,0.7202676661926232
3.982584895700997e-6,0.7088017608811785,8.572973150092472e-7,0.6844953838196787,9.583319470772486e-11,0.6896350526594677,,,,,1.1593829367606978e-6,0.8959866689372751,0.0003586218024703389,0.7956720581022502
6.941360818182762e-9,0.7112745764354987,6.112559009763281e-7,0.738083501128015,9.900885948446713e-12,0.7647339133826148,,,,,5.697283334676024e-7,0.9123105637551763,0.000879182869524849,0.7882235968547032
0.00021036965414093786,0.7413821637959385,1.2132601365077805e-11,0.7448564276124954,7.422204711117838e-11,0.7342147385650241,,,,,5.085881823887758e-7,0.9193250262587566,6.170059491603596e-7,0.7864250738227118
0.003345433574799476,0.7436530497881196,9.964076317173483e-7,0.6907405648566033,6.805580480372974e-10,0.704299814258296,,,,,0.00013779828011240217,0.8100544403098667,4.099318696582813e-8,0.7537715709369288
3.9010937551018404e-7,0.6729055945559771,1.1667460255532603e-6,0.7404233097646263,4.982402023240782e-10,0.7807967106740946,,,,,0.00048096775016827207,0.8266128960892115,9.878729903710355e-6,0.7992070931472244
1.3821422262987629e-7,0.6733269891576613,5.08542532725791e-11,0.6553719768081975,1.2961674316881102e-9,0.8030262733903558,,,,,6.407749456573085e-6,0.8715186051584678,0.0009269468684551636,0.8662330841269695
0.003292941538398741,0.816525672001021,1.0179466502389595e-6,0.8440985907798126,,,,,,,1.8764271310996973e-7,0.7793709617985719,2.7672454542422725e-6,0.8106038011146993
0.00016710920449189803,0.7594223481152986,1.0043680788470392e-6,0.6436148051550854,,,,,,,1.1659960410006707e-7,0.9108786607566657,7.260629951844722e-9,0.7977347003822101
1.9891603996959606e-9,0.7513606913002409,1.5013541231129102e-10,0.6993375881823675,,,,,,,0.00010359544758483394,0.8490940545610624,6.310011051038775e-5,0.7651013422395199
0.006690117431604438,0.8423229347059492,9.027475962978354e-6,0.7236855531816944,,,,,,,0.0013453821102986047,0.8698860394114295,0.0021353300992051822,0.7331719817862984
0.006969505747089406,0.7474154348346896,2.656363442154069e-7,0.7121970656374227,,,,,,,2.8158515024467705e-6,0.8133328537923823,5.272660973102261e-7,0.698310081734685
1.3582199478136292e-9,0.7873879190347024,2.87031030852111e-8,0.753808620080023,,,,,,,8.335481112871928e-8,0.8825323432088706,1.9842045831281593e-7,0.8371449515386572
0.011088157932797882,0.7302672238227039,5.812704282004188e-6,0.7803333227644133,,,,,,,9.580140644579549e-7,0.9228217052905237,0.0022669431337863214,0.759269699401413
0.03024114402419366,0.7229585023520062,1.0309887563769032e-9,0.826135632339568,,,,,,,0.0010249636280268595,0.8725721495707797,3.2762167173602275e-5,0.8177637309895729
8.045956212554776e-9,0.71922758156665,1.5088906524864623e-5,0.7104502689019921,,,,,,,7.188398489942005e-5,0.9376327599710303,3.188558760617986e-9,0.7161350510532064
0.05045223863264565,0.7611014285589962,1.0397746748003486e-5,0.556106259355614,,,,,,,0.0006236573913615106,0.8741083797779794,0.0009717527872549454,0.7832410511481117
0.15277893160764394,0.8121891289929443,5.86446843136155e-9,0.6990776685378297,,,,,,,,,0.007106574482527744,0.8163976045397421
8.13507051832696e-8,0.7813128345923999,3.1793633071776674e-5,0.7351343544412082,,,,,,,,,9.602764288657697e-9,0.7653156284233955
0.23891010940111593,0.7194087432273681,7.586972171661886e-9,0.7644103224320773,,,,,,,,,0.00027935662986710045,0.780779981848131
0.0033196407487275413,0.6866113776366488,0.00015597036749150038,0.7017517585369496,,,,,,,,,0.014553460888316593,0.7188643347900917
2.3222073794544516e-6,0.7589277430399622,2.6089547972088282e-5,0.7429091250315515,,,,,,,,,6.155897390564577e-8,0.7945758995710778
0.23095664878957753,0.7882145356061384,7.509618099060835e-5,0.8215284039918311,,,,,,,,,0.00017041315690734273,0.8510411842908908
